都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
303046,1,和歌山県,紀美野町,紀美野町役場本庁,キミノチョウヤクバホンチョウ,和歌山県海草郡紀美野町動木287,,34.167602,135.304921,玄関ホール,(073)489-2430,,,,月火水木金,8:30,17:15,,,https://www.town.kimino.wakayama.jp,
303046,2,和歌山県,紀美野町,紀美野町総合福祉センター,キミノチョウソウゴウフクシセンター,和歌山県海草郡紀美野町下佐々1408-4,,34.152771,135.310071,玄関ホール,(073)489-9960,,,,月火水木金,8:30,17:15,,,https://www.town.kimino.wakayama.jp/sagasu/hokenfukushika/fukusicenter/index.html,
303046,3,和歌山県,紀美野町,紀美野町役場美里支所,キミノチョウヤクバミサトシショ,和歌山県海草郡紀美野町神野市場226-1,,34.149836,135.355012,玄関ホール,(073)495-2021,,,,月火水木金,8:30,17:15,,,https://www.town.kimino.wakayama.jp,
303046,4,和歌山県,紀美野町,志賀野コミュニティセンター,シガノコミュニティセンター,和歌山県海草郡紀美野町西野21-1,,34.168072,135.352273,玄関ホール,,,,,,,,使用の予約があれば開錠,,,
303046,5,和歌山県,紀美野町,紀美野町役場国吉出張所,キミノチョウヤクバクニヨシシュッチョウジョ,和歌山県海草郡紀美野町田63,,34.139619,135.415415,事務所内,(073)498-0002,,,,月火水木金,8:30,17:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,6,和歌山県,紀美野町,紀美野町役場長谷毛原出張所,キミノチョウヤクバハセケバラシュッチョウジョ,和歌山県海草郡紀美野町毛原宮254-5,,34.162355,135.461332,診療室内,(073)499-0300,,,,月火水木金,8:30,17:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,7,和歌山県,紀美野町,紀美野町役場真国出張所,キミノチョウヤクバマクニシュッチョウジョ,和歌山県海草郡紀美野町真国宮32-2,,34.169633,135.374591,事務所内,(073)497-0002,,,,月火水木金,8:30,17:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,8,和歌山県,紀美野町,紀美野町細野診療所,キミノチョウホソノシンリョウジョ,和歌山県海草郡紀美野町円明寺221-2,,34.168524,135.414358,事務所内,(073)497-0241,,,,金,13:00,15:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,9,和歌山県,紀美野町,紀美野町立野上小学校,キミノチョウリツノカミショウガッコウ,和歌山県海草郡紀美野町動木1445,,34.163795,135.307577,職員室内,(073)489-2041,,,,月火水木金,8:15,16:45,,,http://www.nokamies.town.kimino.wakayama.jp/,
303046,10,和歌山県,紀美野町,紀美野町立小川小学校,キミノチョウリツオガワショウガッコウ,和歌山県海草郡紀美野町中田4,,34.131776,135.324503,職員室の前,(073)489-2402,,,,月火水木金,8:00,16:30,,,http://www.ogawaes.town.kimino.wakayama.jp/,
303046,11,和歌山県,紀美野町,紀美野町立下神野小学校,キミノチョウリツシモコウノショウガッコウ,和歌山県海草郡紀美野町神野市場214,,34.151266,135.352656,職員室内,(073)495-2019,,,,月火水木金,8:15,16:45,,,http://www.shimoes.town.kimino.wakayama.jp/,
303046,12,和歌山県,紀美野町,紀美野町立野上中学校,キミノチョウリツノカミチュウガッコウ,和歌山県海草郡紀美野町下佐々940,,34.154752,135.313756,職員室の前,(073)489-2459,,,,月火水木金,8:15,16:45,,,http://www.nokamijh.town.kimino.wakayama.jp/,
