都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
303046,1,和歌山県,紀美野町,国保野上厚生総合病院,コクホノカミコウセイソウゴウビョウイン,居宅介護支援,和歌山県海草郡紀美野町小畑198,,34.16378089,135.2953164,(073)489-2178,,(073)489-5639,,国民健康保険野上厚生病院組合,3011110081,,,,http://www.nokami-hospital.jp/,
303046,2,和歌山県,紀美野町,美里園指定居宅介護支援事業所,ミサトエンシテイキョタクカイゴシエンジギョウショ,居宅介護支援,和歌山県海草郡紀美野町安井6-1,,34.14911124,135.3466214,(073)495-3216,,(073)495-2658,,社会福祉法人清和福祉会,3071100014,,,,,
303046,3,和歌山県,紀美野町,社会福祉法人紀美野町社会福祉協議会紀美野居宅介護支援事業所,シャカイフクシホウジンキミノチョウシャカイフクシキョウギカイキミノキョタクカイゴシエンジギョウショ,居宅介護支援,和歌山県海草郡紀美野町下佐々1408番地4 ,紀美野町総合福祉センター1階,34.15222067,135.3108772,(073)489-9962,,(073)489-2255,,社会福祉法人紀美野町社会福祉協議会,3071100022,,,,,
303046,4,和歌山県,紀美野町,天寿苑指定居宅介護支援事業所,テンジュエンシテイキョタクカイゴシエンジギョウショ,居宅介護支援,和歌山県海草郡紀美野町下佐々385-1,,34.15806353,135.3182587,(073)489-5181,,(073)489-5014,,医療法人天竹会,3071100055,,,,,
303046,5,和歌山県,紀美野町,たんぽぽ居宅介護支援事業所,タンポポキョタクカイゴシエンジギョウショ,居宅介護支援,和歌山県海草郡紀美野町下佐々1338-2,メゾンアクア102号,34.1525426,135.3134339,(073)489-8011,,(073)489-8012,,有限会社えがお,3071100402,,,,,
303046,6,和歌山県,紀美野町,ケアプランセンターうらら,ケアプランセンターウララ,居宅介護支援,和歌山県海草郡紀美野町小畑371番地3,,34.16670313,135.3032718,(090)7409-3972,,(073)489-5251,,合同会社うらら,3071100444,,,,,
303046,7,和歌山県,紀美野町,美里園ホームヘルパーステーション,ミサトエンホームヘルパーステーション,訪問介護（ホームヘルプ）,和歌山県海草郡紀美野町安井6-1,,34.14911124,135.3466214,(073)495-3216,,(073)495-2658,,社会福祉法人清和福祉会,3071100246,,,,,
303046,8,和歌山県,紀美野町,社会福祉法人紀美野町社会福祉協議会紀美野訪問介護事業所,シャカイフクシホウジンキミノチョウシャカイフクシキョウギカイキミノホウモンカイゴジギョウショ,訪問介護（ホームヘルプ）,和歌山県海草郡紀美野町下佐々1408番地4 ,紀美野町総合福祉センター1階,34.15222067,135.3108772,(073)489-9962,,(073)489-2255,,社会福祉法人紀美野町社会福祉協議会,3071100345,,,,,
303046,9,和歌山県,紀美野町,ヘルパーステーションたんぽぽ,ヘルパーステーションタンポポ,訪問介護（ホームヘルプ）,和歌山県海草郡紀美野町下佐々1338-2,メゾンアクア102号,34.15248933,135.3134017,(073)489-8011,,(073)489-8012,,有限会社えがお,3071100394,,,,,
303046,10,和歌山県,紀美野町,訪問看護ステーションHanako,ホウモンカンゴステーションハナコ,訪問看護,和歌山県海草郡紀美野町小畑794番地19,,34.17004739,135.3066555,(0734)60-3292,,(0734)-63-6014,,合同会社Leben,3061190025,,,,,
303046,11,和歌山県,紀美野町,のかみ訪問看護ステーション,ノカミホウモンカンゴステーション,訪問看護,和歌山県海草郡紀美野町小畑198,,34.16378089,135.2953164,(073)489-2765,,(073)489-2685,,国民健康保険野上厚生病院組合,3061190009,,,,http://www.nokami-hospital.jp/,
303046,12,和歌山県,紀美野町,天寿苑,テンジュエン,訪問リハビリ,和歌山県海草郡紀美野町下佐々385-1,,34.15806353,135.3182587,(073)489-5181,,(073)489-5014,,医療法人天竹会,3071100360,,,,,
303046,13,和歌山県,紀美野町,美里園デイサービス事業所,ミサトエンデイサービスジギョウショ,通所介護（デイサービス）,和歌山県海草郡紀美野町安井6-1,,34.14911124,135.3466214,(073)495-2653,,(073)495-2658,,社会福祉法人清和福祉会,3071100071,,,,,
303046,14,和歌山県,紀美野町,社会福祉法人紀美野町社会福祉協議会通所介護事業所,シャカイフクシホウジンキミノチョウシャカイフクシキョウギカイツウショカイゴジギョウショ,通所介護（デイサービス）,和歌山県海草郡紀美野町下佐々1408番地4 ,紀美野町総合福祉センター1階,34.15222067,135.3108772,(073)489-9963,,(073)489-2255,,社会福祉法人紀美野町社会福祉協議会,3071100154,,,,,
303046,15,和歌山県,紀美野町,美里園真国デイサービスセンター,ミサトエンマクニデイサービスセンター,通所介護（デイサービス）,和歌山県海草郡紀美野町東野285-1,,34.16916147,135.3629543,(073)489-9860,,(073)489-9861,,社会福祉法人清和福祉会,3071100303,,,,,
303046,16,和歌山県,紀美野町,モモ,モモ,通所介護（デイサービス）,和歌山県海草郡紀美野町鎌滝636番地,,34.14219749,135.3837194,(073)495-2221,,(073)495-2220,,株式会社近畿K.N.M,3071100386,,,,,
303046,17,和歌山県,紀美野町,特別養護老人ホーム美里園,トクベツヨウゴロウジンホームミサトエン,短期入所生活介護（ショートステイ）,和歌山県海草郡紀美野町安井6-1,,34.14911124,135.3466214,(073)495-3216,,(073)495-2658,,社会福祉法人清和福祉会,3071100063,,,,,
303046,18,和歌山県,紀美野町,海南海草老人福祉施設事務組合特別養護老人ホーム「やすらぎ園」,カイナンカイソウロウジンフクシシセツジムクミアイトクベツヨウゴロウジンホームヤスラギエン,短期入所生活介護（ショートステイ）,和歌山県海草郡紀美野町下佐々1408番地の7,,34.15208041,135.3113994,(073)489-3631,,(073)489-4989,,海南海草老人福祉施設事務組合,3071100170,,,,,
303046,19,和歌山県,紀美野町,特別養護老人ホーム美里園,トクベツヨウゴロウジンホームミサトエン,短期入所生活介護（ショートステイ）,和歌山県海草郡紀美野町安井6-1,,34.14911124,135.3466214,(073)495-3216,,(073)495-2658,,社会福祉法人清和福祉会,3071100410,,,,,
303046,20,和歌山県,紀美野町,老人保健施設天寿苑,ロウジンホケンシセツテンジュエン,短期入所療養介護,和歌山県海草郡紀美野町下佐々385-1,,34.15806353,135.3182587,(073)489-5181,,(073)489-5014,,医療法人天竹会,3051180010,,,,,
303046,21,和歌山県,紀美野町,介護福祉用具ユーミィ,カイゴフクシヨウグユーミィ,福祉用具貸与,和歌山県海草郡紀美野町動木102番地1,,34.16702204,135.3066021,(073)494-3613,,(073)494-3614,,有限会社パナルック西山,3071100451,,,,,
303046,22,和歌山県,紀美野町,介護福祉用具ユーミィ,カイゴフクシヨウグユーミィ,特定福祉用具販売,和歌山県海草郡紀美野町動木102番地1,,34.16702204,135.3066021,(073)494-3613,,(073)494-3614,,有限会社パナルック西山,3071100451,,,,,
303046,23,和歌山県,紀美野町,特別養護老人ホームやすらぎ園,トクベツヨウゴロウジンホームヤスラギエン,介護老人福祉施設（特別養護老人ホーム）,和歌山県海草郡紀美野町下佐々1408番地の7,,34.15208041,135.3113994,(073)489-3631,,(073)489-4989,,海南海草老人福祉施設事務組合,3071100139,,,,,
303046,24,和歌山県,紀美野町,特別養護老人ホーム美里園,トクベツヨウゴロウジンホームミサトエン,介護老人福祉施設（特別養護老人ホーム）,和歌山県海草郡紀美野町安井6-1,,34.15208041,135.3113994,(073)495-3216,,(073)495-2658,,社会福祉法人清和福祉会,3071100147,,,,,
303046,25,和歌山県,紀美野町,老人保健施設天寿苑,ロウジンホケンシセツテンジュエン,介護老人保健施設（老健）,和歌山県海草郡紀美野町下佐々385-1,,34.15208041,135.3113994,(073)489-5181,,(073)489-5014,,医療法人天竹会,3051180010,,,,,
303046,26,和歌山県,紀美野町,モモ,モモ,小規模多機能型居宅介護,和歌山県海草郡紀美野町鎌滝636番地,,34.15208041,135.3113994,(073)495-2255,,(073)495-2220,,株式会社近畿K.N.M,3091100036,,,,,
303046,27,和歌山県,紀美野町,小規模多機能ホーム　ぽっかぽか,ショウキボタキノウホームボッカポカ,小規模多機能型居宅介護,和歌山県海草郡紀美野町動木1579-1,,34.15208041,135.3113994,(073)489-3301,,,,有限会社えがお,3091100044,,,,,
303046,28,和歌山県,紀美野町,グループホーム美里園,グループホームミサトエン,認知症対応型共同生活介護（グループホーム）,和歌山県海草郡紀美野町安井6-1,,34.15208041,135.3113994,(073)495-3216,,,,社会福祉法人清和福祉会,3071100287,,,,,
303046,29,和歌山県,紀美野町,グループホームラフェスタ紀美野,グループホームミサトエンラフェスタキミノ,認知症対応型共同生活介護（グループホーム）,和歌山県海草郡紀美野町下佐々1396-8,,34.15208041,135.3113994,(073)489-5223,,,,株式会社メディカル・ギア・エクウィプメント,3091100010,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
