都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
303046,1,和歌山県,紀美野町,野上八幡宮本殿,ノカミハチマングウホンデン,,,重要文化財,建造物,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,棟,,野上八幡宮,1944/9/5,,,,,,,,,,,,
303046,2,和歌山県,紀美野町,野上八幡宮拝殿,ノカミハチマングウハイデン,,,重要文化財,建造物,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,棟,,野上八幡宮,1944/9/5,,,,,,,,,,,,
303046,3,和歌山県,紀美野町,野上八幡宮摂社武内神社本殿,ノカミハチマングウセッシャタケウチジンジャホンデン,,,重要文化財,建造物,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,棟,,野上八幡宮,1944/9/5,,,,,,,,,,,,
303046,4,和歌山県,紀美野町,野上八幡宮摂社平野今木神社本殿,ノカミハチマングウセッシャヒラノイマキジンジャホンデン,,,重要文化財,建造物,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,棟,,野上八幡宮,1944/9/5,,,,,,,,,,,,
303046,5,和歌山県,紀美野町,野上八幡宮摂社高良玉垂神社本殿,ノカミハチマングウセッシャコウラタマタレジンジャホンデン,,,重要文化財,建造物,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,棟,,野上八幡宮,1944/9/5,,,,,,,,,,,,
303046,6,和歌山県,紀美野町,十三神社本殿、摂社丹生神社本殿、摂社八幡神社本殿,ジュウサンジンジャホンデン、セッシャニュウジンジャホンデン、セッシャハチマンジンジャホンデン,,,重要文化財,建造物,十三神社,和歌山県海草郡紀美野町野中493,,34.1474,135.3511,(073)495-3755,,3,棟,,十三神社,1969/3/12,,,,,,,,,,,,
303046,7,和歌山県,紀美野町,梵鐘,ボンショウ,,,重要文化財,美術工芸品,泉福寺,和歌山県海草郡紀美野町長谷宮684-1,,34.18736,135.49196,(073)499-0245,,1,口,,泉福寺,1971/6/22,,,,,,,,,,,,
303046,8,和歌山県,紀美野町,赤銅鳥頸太刀銘真長,シヤクドウトリクビタチメイサネナガ,,,重要文化財,美術工芸品,野上八幡宮,和歌山県海草郡紀美野町小畑625,,34.16582,135.29403,(073)489-2162,,1,口,,野上八幡宮,1922/4/13,,,,,,,,,,,,
303046,9,和歌山県,紀美野町,上南家住宅主屋,ウエミナミケジュウタクオモヤ,,,登録有形文化財,建造物,上南家住宅,和歌山県海草郡紀美野町谷667,,34.14723,135.41841,,,1,棟,,個人所有,2019/3/29,,,,,,,,,,,,
303046,10,和歌山県,紀美野町,上南家住宅ヒヤ,ウエミナミケジュウタクヒヤ,,,登録有形文化財,建造物,上南家住宅,和歌山県海草郡紀美野町谷667,,34.14723,135.41841,,,1,棟,,個人所有,2019/3/29,,,,,,,,,,,,
