NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,小畑集会所,ショウバタシュウカイショ,和歌山県海草郡紀美野町小畑107,,34.163332,135.293835,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,40人（2平方メートルあたり1人）,,,
2,スポーツ公園体育館,スポーツコウエンタイイクカン,和歌山県海草郡紀美野町小畑853-2,,34.175271,135.307771,,(073)489-5368,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,270人（2.7平方メートルあたり1人）,,,
3,動木集会所,トドロキシュウカイショ,和歌山県海草郡紀美野町動木227-1,,34.165365,135.306634,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,34人（2平方メートルあたり1人）,,,
4,野上小学校体育館,ノカミショウガッコウタイイクカン,和歌山県海草郡紀美野町動木1445,,34.142952,135.380962,,(073)489-2041,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,192人（2.7平方メートルあたり1人）,,http://www.nokamies.town.kimino.wakayama.jp/,
5,芝崎集会所,シバサキシュウカイショ,和歌山県海草郡紀美野町動木363-1,,34.169698,135.309194,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,17人（2平方メートルあたり1人）,,,
6,野上中学校体育館,ノカミチュウガッコウタイイクカン,和歌山県海草郡紀美野町下佐々940,,34.163413,135.307102,,(073)489-2459,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,393人（2.7平方メートルあたり1人）,,http://www.nokamijh.town.kimino.wakayama.jp/,
7,河南集会所,カナンシュウカイショ,和歌山県海草郡紀美野町下佐々1817,,34.158776,135.308555,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,24人（2.1平方メートルあたり1人）,,,
8,下佐々コミュニティセンター,シモササコミュニティセンター,和歌山県海草郡紀美野町下佐々595-1,,34.156478,135.314861,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,50人（2平方メートルあたり1人）,,,
9,中央児童館,チュウオウジドウカン,和歌山県海草郡紀美野町下佐々173,,34.154664,135.314604,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,28人（2平方メートルあたり1人）,,,
10,新生町集会所,シンセイマチシュウカイショ,和歌山県海草郡紀美野町下佐々803-1,,34.156116,135.309974,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,26人（2.1平方メートルあたり1人）,,,
11,吉見集会所,ヨシミシュウカイショ,和歌山県海草郡紀美野町下佐々1752-1,,34.156742,135.306463,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,33人（2.1平方メートルあたり1人）,,,
12,総合福祉センター,ソウゴウフクシセンター,和歌山県海草郡紀美野町下佐々1408-4,,34.151946,135.311387,,(073)489-9960,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,400人（2.1平方メートルあたり1人）,,https://www.town.kimino.wakayama.jp/sagasu/hokenfukushika/fukusicenter/index.html,
13,やすらぎ園,ヤスラギエン,和歌山県海草郡紀美野町下佐々1408-7,,34.168472,135.400242,,(073)489-3631,,303046,和歌山県,紀美野町,,,,1,,,,,1,88人（2平方メートルあたり1人）,,http://www.yasuragien.com/,
14,吉野集会所,ヨシノシュウカイショ,和歌山県海草郡紀美野町吉野320-3,,34.158606,135.328526,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,49人（2平方メートルあたり1人）,,,
15,福井集会所,フクイシュウカイショ,和歌山県海草郡紀美野町福井1313-1,,34.147554,135.327072,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,35人（2平方メートルあたり1人）,,,
16,小川地区公民館,オガワチクコウミンカン,和歌山県海草郡紀美野町中田23,,34.152062,135.311034,,(073)489-4511,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,42人（2平方メートルあたり1人）,,,
17,小川小学校体育館,オガワショウガッコウタイイクカン,和歌山県海草郡紀美野町中田4,,34.131652,135.324068,,(073)489-2402,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,123人（2.7平方メートルあたり1人）,,http://www.ogawaes.town.kimino.wakayama.jp/,
18,志賀野地区公民館,シガノチクコウミンカン,和歌山県海草郡紀美野町西野22-1,,34.139805,135.416192,,(073)489-5145,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,66人（2平方メートルあたり1人）,,,
19,志賀野体育館,シガノタイイクカン,和歌山県海草郡紀美野町西野11-1,,34.168496,135.353196,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,102人（2.7平方メートルあたり1人）,,,
20,西野集会所,ニシノシュウカイショ,和歌山県海草郡紀美野町西野691,,34.169584,135.349831,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,27人（2平方メートルあたり1人）,,,
21,釜滝集会所,カマタキシュウカイショ,和歌山県海草郡紀美野町西野246-1,,34.171484,135.340265,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,17人（2平方メートルあたり1人）,,,
22,長谷集会所,ナガタニシュウカイショ,和歌山県海草郡紀美野町長谷37-1,,34.183362,135.316593,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,41人（2平方メートルあたり1人）,,,
23,国木原集会所,クニキハラシュウカイショ,和歌山県海草郡紀美野町国木原1,,34.185233,135.341552,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,25人（2平方メートルあたり1人）,,,
24,福田集会所,フクダシュウカイショ,和歌山県海草郡紀美野町福田143-1,,34.168334,135.352351,,,,303046,和歌山県,紀美野町,,1,,1,,,,,1,43人（2平方メートルあたり1人）,,,
25,安井集会所,ヤスイシュウカイショ,和歌山県海草郡紀美野町安井134-2,,34.145446,135.345193,,,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,23人（2平方メートルあたり1人）,,,
26,野中集会所,ノナカシュウカイショ,和歌山県海草郡紀美野町野中31-1,,34.144442,135.348112,,,,303046,和歌山県,紀美野町,,,,1,,,,,1,34人（2平方メートルあたり1人）,,,
27,美里中学校体育館,ミサトチュウガッコウタイイクカン,和歌山県海草郡紀美野町野中494-1,,34.151556,135.353061,,(073)495-2016,,303046,和歌山県,紀美野町,1,1,,1,,,,,1,199人（2.7平方メートルあたり1人）,,http://www.misatojh.town.kimino.wakayama.jp/,
