都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
303046,1,和歌山県,紀美野町,スポーツ公園,スポーツコウエン,,,和歌山県海草郡紀美野町動木518,,34.17504,135.3085,(073)489-5368,,,,月水木金土日,9:00,21:30,体育館のみ終了時間22:00,,,,
303046,2,和歌山県,紀美野町,武道館,ブドウカン,,,和歌山県海草郡紀美野町下佐々926,,34.15427,135.31317,(073)489-5915,,,,月火水木金土日,9:00,22:00,,,,,
303046,3,和歌山県,紀美野町,志賀野体育館,シガノタイクカン,,,和歌山県海草郡紀美野町西野11-1,,34.16851,135.35331,,,,,,,,,,,,
303046,4,和歌山県,紀美野町,山の家おいし,ヤマノイエオイシ,,,和歌山県海草郡紀美野町中田899-29,,34.1053,135.32681,(073)489-3586,,,,,9:30,16:30,,,,,
303046,5,和歌山県,紀美野町,のかみふれあい公園,ノカミフレアイコウエン,,,和歌山県海草郡紀美野町西野971-1,,34.1798,135.34813,(073)489-5300,,,,月水木金土日,9:00,17:00,,,,,
303046,6,和歌山県,紀美野町,農村総合センター,ノウソンソウゴウセンター,,,和歌山県海草郡紀美野町野中410,,34.14322,135.35208,(073)495-3212,,,,水木金土日,9:00,17:00,,,,,
303046,7,和歌山県,紀美野町,美里の湯かじか荘,ミサトノユカジカソウ,,,和歌山県海草郡紀美野町菅沢6,,34.13957,135.41003,(073)498-0102,,,,,,,,,,https://niunomiyako.com,
303046,8,和歌山県,紀美野町,毛原オートキャンプ場,ケバラオートキャンプジョウ,,,和歌山県海草郡紀美野町小西187,,34.15088,135.45148,(073)498-0102,,,,,,,,,,https://niunomiyako.com/kebaracampsite/,
303046,9,和歌山県,紀美野町,小川宮前公衆便所,オガワミヤマエコウシュウベンジョ,,,和歌山県海草郡紀美野町奥佐々21-2,,34.1332,135.32734,,,,,,,,,,,,
303046,10,和歌山県,紀美野町,生石高原観光トイレ,オイシコウゲンカンコウトイレ,,,和歌山県海草郡紀美野町中田899-29,,34.10531,135.32739,,,,,,,,,,,,
303046,11,和歌山県,紀美野町,小西公衆便所,コニシコウシュウベンジョ,,,和歌山県海草郡紀美野町小西168-1,,34.15032,135.45017,,,,,,,,,,,,
303046,12,和歌山県,紀美野町,毛原上公衆便所,ケバラカミコウシュウベンジョ,,,和歌山県海草郡紀美野町毛原上408-2,,34.16715,135.46657,,,,,,,,,,,,
303046,13,和歌山県,紀美野町,毛原公衆便所,ケバラコウシュウベンジョ,,,和歌山県海草郡紀美野町毛原宮222,,34.16011,135.46145,,,,,,,,,,,,
303046,14,和歌山県,紀美野町,長谷宮公衆便所,ハセミヤコウシュウベンジョ,,,和歌山県海草郡紀美野町長谷宮146-3,,34.18052,135.47949,,,,,,,,,,,,
303046,15,和歌山県,紀美野町,長谷公衆便所,ハセコウシュウベンジョ,,,和歌山県海草郡紀美野町長谷宮664,,34.187,135.49262,,,,,,,,,,,,
303046,16,和歌山県,紀美野町,短期滞在施設,タンキタイザイシセツ,,,和歌山県海草郡紀美野町神野市場232-7,,34.14965,135.35573,,,,,,,,,,,,
303046,17,和歌山県,紀美野町,短期滞在施設,タンキタイザイシセツ,,,和歌山県海草郡紀美野町神野市場231-2,,34.14928,135.35614,,,,,,,,,,,,
303046,18,和歌山県,紀美野町,災害住宅,サイガイジュウタク,,,和歌山県海草郡紀美野町神野市場236,,34.15011,135.35555,,,,,,,,,,,,
303046,19,和歌山県,紀美野町,建設残土処理場,ケンセツザンドショリジョウ,,,和歌山県海草郡紀美野町永谷15,,34.15169,135.35114,,,,,,,,,,,,
303046,20,和歌山県,紀美野町,短期滞在施設,タンキタイザイシセツ,,,和歌山県海草郡紀美野町田63,,34.13956,135.4153,,,,,,,,,,,,
303046,21,和歌山県,紀美野町,松ヶ峯職員住宅,マツガミネショクインジュウタク,,,和歌山県海草郡紀美野町松ヶ峯107,,34.14122,135.4061,,,,,,,,,,,,
303046,22,和歌山県,紀美野町,医師住宅,イシジュウタク,,,和歌山県海草郡紀美野町毛原宮254-5,,34.16236,135.4615,,,,,,,,,,,,
303046,23,和歌山県,紀美野町,細野診療所,ホソノシンリョウショ,,,和歌山県海草郡紀美野町円明寺221-2,,34.16855,135.41433,(073)497-0241,,,,金,13:00,15:00,,,,,
303046,24,和歌山県,紀美野町,野上小学校,ノカミショウガッコウ,,,和歌山県海草郡紀美野町動木1442-1,,34.16369,135.30681,(073)489-2041,,,,,,,,,,,
303046,25,和歌山県,紀美野町,小川小学校,オガワショウガッコウ,,,和歌山県海草郡紀美野町中田５,,34.13166,135.32389,(073)498-2402,,,,,,,,,,,
303046,26,和歌山県,紀美野町,下神野小学校,シモコウノショウガッコウ,,,和歌山県海草郡紀美野町神野市場214,,34.15129,135.35272,(073)495-2019,,,,,,,,,,,
303046,27,和歌山県,紀美野町,野上中学校,ノカミチュウガッコウ,,,和歌山県海草郡紀美野町下佐々940,,34.15467,135.31462,(073)489-2459,,,,,,,,,,,
303046,28,和歌山県,紀美野町,美里中学校,ミサトチュウガッコウ,,,和歌山県海草郡紀美野町野中494-1,,34.14738,135.35037,(073)495-2016,,,,,,,,,,,
303046,29,和歌山県,紀美野町,長谷毛原中学校,ハセケバラチュウガッコウ,,,和歌山県海草郡紀美野町毛原宮222,,34.16009,135.46202,(073)499-0030,,,,,,,,,,,
303046,30,和歌山県,紀美野町,毛原小学校,ケバラショウガッコウ,,,和歌山県海草郡紀美野町毛原宮222,,34.16009,135.46202,(073)499-0130,,,,,,,,,,,
303046,31,和歌山県,紀美野町,大角ごみリサイクルセンター,オオスミゴミリサイクルセンター,,,和歌山県海草郡紀美野町大角607-1,,34.14832,135.36846,,,,,,,,,,,,
303046,32,和歌山県,紀美野町,くすのき公園,クスノキコウエン,,,和歌山県海草郡紀美野町下佐々912,,34.15516,135.31268,,,,,,,,,,,,
303046,33,和歌山県,紀美野町,雨山水辺公園,アメヤマミズベコウエン,,,和歌山県海草郡紀美野町井堰124-1,,34.17697,135.36788,,,,,,,,,,,,
303046,34,和歌山県,紀美野町,毛原公園,ケバラコウエン,,,和歌山県海草郡紀美野町毛原宮10,,34.15871,135.46173,,,,,,,,,,,,
303046,35,和歌山県,紀美野町,役場本庁舎,ヤクバホンチョウシャ,,,和歌山県海草郡紀美野町動木287,,34.1673,135.30763,(073)489-2430,,,,,8:30,17:15,,,,,
303046,36,和歌山県,紀美野町,美里支所,ミサトシショ,,,和歌山県海草郡紀美野町神野市場226-1,,34.14959,135.35524,(073)495-2021,,,,,8:30,17:15,,,,,
303046,37,和歌山県,紀美野町,志賀野出張所,シガノシュッチョウショ,,,和歌山県海草郡紀美野町西野21-1,,34.16817,135.35239,(073)489-5112,,,,,,,,,,,
303046,38,和歌山県,紀美野町,真国出張所,マクニシュッチョウショ,,,和歌山県海草郡紀美野町真国宮32-2,,34.16959,135.37467,(073)497-0002,,,,,,,,,,,
303046,39,和歌山県,紀美野町,国吉出張所,クニヨシシュッチョウショ,,,和歌山県海草郡紀美野町田63,,34.1396,135.41543,(073)498-0002,,,,,,,,,,,
303046,40,和歌山県,紀美野町,長谷毛原出張所,ハセケバラシュッチョウショ,,,和歌山県海草郡紀美野町毛原宮254-5,,34.16243,135.46166,(073)499-0300,,,,,,,,,,,
303046,41,和歌山県,紀美野町,消防署,ショウボウショ,,,和歌山県海草郡紀美野町下佐々803-1,,34.15671,135.31026,(073)489-5146,,,,,,,,,,,
303046,42,和歌山県,紀美野町,第1分団庫,ダイイチブンダンコ,,,和歌山県海草郡紀美野町下佐々210-1,,34.15763,135.31344,,,,,,,,,,,,
303046,43,和歌山県,紀美野町,第2分団庫,ダイニブンダンコ,,,和歌山県海草郡紀美野町動木227-1,,34.16536,135.30684,,,,,,,,,,,,
303046,44,和歌山県,紀美野町,第3分団庫,ダイサンブンダンコ,,,和歌山県海草郡紀美野町小畑127-1,,34.16286,135.29477,,,,,,,,,,,,
303046,45,和歌山県,紀美野町,第4分団庫,ダイヨンブンダンコ,,,和歌山県海草郡紀美野町柴目1130-2,,34.17226,135.32848,,,,,,,,,,,,
303046,46,和歌山県,紀美野町,第5分団庫,ダイゴブンダンコ,,,和歌山県海草郡紀美野町長谷279-1,,34.18551,135.31727,,,,,,,,,,,,
303046,47,和歌山県,紀美野町,第6分団庫,ダイロクブンダンコ,,,和歌山県海草郡紀美野町動木1790-1,,34.15769,135.30593,,,,,,,,,,,,
303046,48,和歌山県,紀美野町,第7分団庫,ダイナナブンダンコ,,,和歌山県海草郡紀美野町吉野277-3,,34.15909,135.3283,,,,,,,,,,,,
303046,49,和歌山県,紀美野町,第8分団庫,ダイハチブンダンコ,,,和歌山県海草郡紀美野町福井1313-1,,34.14707,135.32706,,,,,,,,,,,,
303046,50,和歌山県,紀美野町,第9分団庫,ダイキュウブンダンコ,,,和歌山県海草郡紀美野町奥佐々22-3,,34.13293,135.32717,,,,,,,,,,,,
303046,51,和歌山県,紀美野町,第10分団庫,ダイジュウブンダンコ,,,和歌山県海草郡紀美野町西野９-1,,34.16876,135.35321,,,,,,,,,,,,
303046,52,和歌山県,紀美野町,第11分団庫,ダイジュウイチブンダンコ,,,和歌山県海草郡紀美野町神野市場226-3,,34.14936,135.35518,,,,,,,,,,,,
303046,53,和歌山県,紀美野町,第11分団庫第1部格納庫,ダイジュウイチブンダンコダイイチブカクノウコ,,,和歌山県海草郡紀美野町永谷258-3,,34.1559,135.3568,,,,,,,,,,,,
303046,54,和歌山県,紀美野町,第11分団庫第2部格納庫,ダイジュウイチブンダンコダイニブカクノウコ,,,和歌山県海草郡紀美野町福田144-1,,34.15643,135.34227,,,,,,,,,,,,
303046,55,和歌山県,紀美野町,第11分団庫第3部格納庫,ダイジュウイチブンダンコダイサンブカクノウコ,,,和歌山県海草郡紀美野町箕六311-1,,34.13001,135.35545,,,,,,,,,,,,
303046,56,和歌山県,紀美野町,第11分団庫第4部格納庫,ダイジュウイチブンダンコダイヨンブカクノウコ,,,和歌山県海草郡紀美野町野中31-1,,34.14462,135.34803,,,,,,,,,,,,
303046,57,和歌山県,紀美野町,第12分団庫第1部格納庫,ダイジュウニブンダンコダイイチブカクノウコ,,,和歌山県海草郡紀美野町赤木128-2,,34.13762,135.38791,,,,,,,,,,,,
303046,58,和歌山県,紀美野町,第12分団庫第2部格納庫,ダイジュウニブンダンコダイニブカクノウコ,,,和歌山県海草郡紀美野町上ヶ井28-5,,34.13359,135.36451,,,,,,,,,,,,
303046,59,和歌山県,紀美野町,第12分団庫第3部格納庫,ダイジュウニブンダンコダイサンブカクノウコ,,,和歌山県海草郡紀美野町大角201-1,,34.15075,135.37113,,,,,,,,,,,,
303046,60,和歌山県,紀美野町,第13分団庫第1部格納庫,ダイジュウサンブンダンコダイイチブカクノウコ,,,和歌山県海草郡紀美野町田64,,34.13971,135.41636,,,,,,,,,,,,
303046,61,和歌山県,紀美野町,第13分団庫第1部格納庫,ダイジュウサンブンダンコダイイチブカクノウコ,,,和歌山県海草郡紀美野町松ヶ峯358-1,,34.13822,135.40674,,,,,,,,,,,,
303046,62,和歌山県,紀美野町,第13分団庫第2部格納庫,ダイジュウサンブンダンコダイニブカクノウコ,,,和歌山県海草郡紀美野町中146-9,,34.13756,135.42606,,,,,,,,,,,,
303046,63,和歌山県,紀美野町,第14分団庫第1部格納庫,ダイジュウヨンブンダンコダイイチブカクノウコ,,,和歌山県海草郡紀美野町毛原宮222,,34.16015,135.46186,,,,,,,,,,,,
303046,64,和歌山県,紀美野町,第14分団庫第2部格納庫,ダイジュウヨンブンダンコダイニブカクノウコ,,,和歌山県海草郡紀美野町長谷宮238,,34.18251,135.48024,,,,,,,,,,,,
303046,65,和歌山県,紀美野町,第14分団庫第3部格納庫,ダイジュウヨンブンダンコダイサンブカクノウコ,,,和歌山県海草郡紀美野町小西347-1,,34.1479,135.44814,,,,,,,,,,,,
303046,66,和歌山県,紀美野町,第15分団庫第1部格納庫,ダイジュウゴブンダンコダイイチブカクノウコ,,,和歌山県海草郡紀美野町真国宮117-1,,34.16947,135.38018,,,,,,,,,,,,
303046,67,和歌山県,紀美野町,第15分団庫第2部格納庫,ダイジュウゴブンダンコダイニブカクノウコ,,,和歌山県海草郡紀美野町花野原351-11,,34.1688,135.39997,,,,,,,,,,,,
